Name,NetWorth,Country,Source,Rank,Age,Residence,Citizenship,Status,Children,Education,Self_made
Alan Trefler,4.8,United States,software,589,65,"Brookline, Massachusetts",United States,Married,,"Associate in Arts/Science, Dartmouth College",True
Radovan Vitek,4.8,Czechia,real estate,589,50,"Crans Montana, Switzerland",Czechia,Married,4,"Law Degree, University of West Bohemia",True
Frank Wang,4.8,China,drones,589,40,"Shenzhen, China",China,Married,,"Bachelor of Arts/Science, Hong Kong University of Science and Technology; Master of Science, Hong Kong University of Science and Technology",True
Wang Xicheng & family,4.8,China,tires,589,72,"Zhaoyuan, China",China,Married,,,True
Wang Zhendong,4.8,China,education,589,44,"Beijing, China",China,,,"Bachelor of Arts/Science, Peking University",True
"John, Alan & Bruce Wilson",4.8,Australia,retailing,589,,"Melbourne, Australia",Australia,,,,False
M.A. Yusuff Ali,4.8,India,retail,589,65,"Abu Dhabi, United Arab Emirates",India,Married,3,,True
Maria Fernanda Amorim & family,4.7,Portugal,"energy, investments",608,86,"Grijo, Portugal",Portugal,Widowed,3,,False
Dona Bertarelli,4.7,Switzerland,biotech,608,53,"Gstaad, Switzerland",Switzerland,,,,False
Hong Jie,4.7,China,paint,608,53,"Putian, China",China,,,,True
Nathan Kirsh,4.7,Eswatini (Swaziland),"retail, real estate",608,89,"Ezulwini, Eswatini (Swaziland)",Eswatini (Swaziland),Married,3,"Bachelor of Arts/Science, University of Witwatersrand",True
Ken Langone,4.7,United States,investments,608,85,"Sands Point, New York",United States,Married,3,"Bachelor of Arts/Science, Bucknell University; Master of Business Administration, Leonard N. Stern School of Business",True
Michael Pieper,4.7,Switzerland,kitchen appliances,608,75,"Lucerne, Switzerland",Switzerland,Married,2,"Master of Business Administration, St Gallen University",True
Richard Schulze,4.7,United States,Best Buy,608,80,"Bonita Springs, Florida",United States,"Widowed, Remarried",10,"Diploma, High School",True
Eric Smidt,4.7,United States,hardware stores,608,61,"Beverly Hills, California",United States,Married,,,True
Tim Sweeney,4.7,United States,video games,608,50,"Cary, North Carolina",United States,,,,True
Tang Shing-bor,4.7,Hong Kong,real estate,608,87,"Hong Kong, Hong Kong",Hong Kong,Married,5,,True
Oleg Tinkov,4.7,Russia,banking,608,53,"Moscow, Russia",Russia,Married,3,"Diploma, University of California, Berkeley",True
Mark Walter,4.7,United States,finance,608,60,"Chicago, Illinois",United States,Married,1,"Bachelor of Arts/Science, Creighton University; Doctor of Jurisprudence, Northwestern University",True
Wong Luen Hei,4.7,China,building materials,608,59,"Hong Kong, Hong Kong",China,Married,,,True
Zhou Bajin,4.7,China,auto parts,608,86,"Changzhou, China",China,,,,True
Patrizio Bertelli,4.6,Italy,luxury goods,622,75,"Milan, Italy",Italy,Married,2,"Master of Business Administration, University of Florence",True
Bert Beveridge,4.6,United States,vodka,622,59,"Austin, Texas",United States,Married,3,"Bachelor of Arts/Science, University of Texas at Austin",True
Martin & Olivier Bouygues,4.6,France,"construction, media",622,,"Paris, France",France,,,,False
Chen Lip Keong,4.6,Malaysia,"casinos, property, energy",622,73,"Phnom Penh, Cambodia",Malaysia,Married,3,"Medical Doctor, University of Malaya",True
Dong Fan,4.6,China,medical devices,622,,"Zhuhai, China",China,,,"Bachelor of Arts/Science, Shanghai University of Finance and Economics; Master of Business Administration, Sun Yat-sen University",True
Daniel Ek,4.6,Sweden,Spotify,622,38,"Stockholm, Sweden",Sweden,Married,2,,True
Tilman Fertitta,4.6,United States,"Houston Rockets, entertainment",622,63,"Houston, Texas",United States,Married,4,"Drop Out, Texas Tech University; Drop Out, University of Houston",True
Luis Frias,4.6,Brazil,mobile payments,622,58,"Sao Paulo, Brazil",Brazil,,,,False
Peter Gassner,4.6,United States,software,622,56,"Pleasanton, California",United States,Married,2,"Bachelor of Science, Oregon State University",True
Vladimir Kim,4.6,Kazakhstan,mining,622,60,"Almaty, Kazakhstan",Kazakhstan,Married,3,,True
Li Weiguo,4.6,China,construction materials,622,56,"Beijing, China",China,Married,,,True
Denis O'Brien,4.6,Ireland,telecom,622,63,"Dublin, Ireland",Ireland,Married,4,"Master of Business Administration, Carroll School of Management",True
Miuccia Prada,4.6,Italy,luxury goods,622,71,"Milan, Italy",Italy,Married,2,"Doctorate, University of Milan; Doctorate in Pedagogical Sciences, University of Milan",False
"Robert Rich, Jr.",4.6,United States,frozen foods,622,80,"Islamorada, Florida",United States,Married,4,"Master of Business Administration, Simon School of Business; Bachelor of Arts/Science, Williams College",False
Abhay Vakil & family,4.6,India,paints,622,70,"Mumbai, India",India,Married,3,"Bachelor of Arts/Science, Bombay University; Bachelor of Arts/Science, Syracuse University",False
Paul-Heinz Wesjohann & family,4.6,Germany,chicken processing,622,77,"Rechterfeld, Germany",Germany,Married,4,,True
Ron Baron,4.5,United States,money management,638,77,"New York, New York",United States,Married,2,"Bachelor of Arts/Science, Bucknell University",True
Andre Esteves,4.5,Brazil,banking,638,52,"Sao paulo, Brazil",Brazil,Married,3,"Bachelor of Arts/Science, Universidade Federal do Rio de Janeiro",True
Jonathan Gray,4.5,United States,investments,638,51,"New York, New York",United States,Married,,"Bachelor of Arts/Science, University of Pennsylvania, The Wharton School",True
Hu Baifan,4.5,China,pharmaceuticals,638,58,"Shaoxing, China",China,,,"Bachelor of Arts/Science, Shaoxing University; Master of Business Administration, Zhejiang University",True
Viatcheslav Kantor,4.5,Russia,"fertilizer, real estate",638,67,"London, United Kingdom",Russia,Married,5,"Ph.D, Moscow Aviation University",True
Min Kao & family,4.5,United States,navigation equipment,638,72,"Leawood, Kansas",United States,Married,2,"Bachelor of Arts/Science, National Taiwan University; Doctorate, University of Tennessee Knoxville; Master of Science, University of Tennessee Knoxville",True
Friedrich Knapp,4.5,Germany,fashion retail,638,70,"Brunswick, Germany",Germany,Married,3,,True
Richard Li,4.5,Hong Kong,telecom,638,54,"Hong Kong, Hong Kong",Hong Kong,Single,3,"Drop Out, Stanford University",False
Rudolf Maag,4.5,Switzerland,medical devices,638,75,"Binningen, Switzerland",Switzerland,Married,2,"Master of Business Administration, INSEAD",True
Miao Hangen,4.5,China,"textiles, petrochemicals",638,56,"Suzhou, China",China,,,,True
Sami Mnaymneh,4.5,United States,private equity,638,59,"Miami Beach, Florida",United States,,,"Bachelor of Arts/Economics, Columbia University; Master of Business Administration, Harvard Business School; Doctor of Jurisprudence, Harvard University",True
Igor Olenicoff,4.5,United States,real estate,638,78,"Lighthouse Point, Florida",United States,Married,2,"Bachelor of Arts/Science, University of Southern California; Master of Business Administration, University of Southern California; Master of Science, University of Southern California",True
Sergei Popov,4.5,Russia,banking,638,49,"Moscow, Russia",Russia,Married,2,"Bachelor of Arts/Science, Ural State Technical University",True
Thomas Pritzker,4.5,United States,"hotels, investments",638,70,"Chicago, Illinois",United States,Married,3,"Bachelor of Arts/Science, Claremont McKenna College; Doctor of Jurisprudence, University of Chicago; Master of Business Administration, University of Chicago",False
"Julian Robertson, Jr.",4.5,United States,hedge funds,638,88,"Locust Valley, New York",United States,Widowed,3,"Bachelor of Arts/Science, University of North Carolina",True
Tony Tamer,4.5,United States,private equity,638,63,"New York, New York",United States,Married,4,,True
Zhu Baoguo & family,4.5,China,pharmaceuticals,638,59,"Shenzhen, China",China,Married,,"Bachelor of Arts/Science, Henan Normal University",True
Shari Arison,4.4,Israel,Carnival Cruises,655,63,"Tel Aviv, Israel",Israel,Divorced,4,"Drop Out, Miami Dade College",False
Orlando Bravo,4.4,United States,private equity,655,50,"Miami Beach, Florida",United States,Married,3,"Bachelor of Arts/Science, Brown University; Master of Business Administration, Stanford Graduate School of Business; Doctor of Jurisprudence, Stanford University",True
Garrett Camp,4.4,Canada,Uber,655,42,"San Francisco, California",Canada,In Relationship,,"Master of Science, University of Calgary",True
Nick Caporella,4.4,United States,beverages,655,85,"Plantation, Florida",United States,Married,4,,True
Mark Cuban,4.4,United States,"online media, Dallas Mavericks",655,62,"Dallas, Texas",United States,Married,3,"Bachelor of Arts/Science, Indiana University",True
Yakir Gabay,4.4,Cyprus,real estate,655,55,"London, United Kingdom",Cyprus,,,,True
Erman Ilicak,4.4,Turkey,construction,655,53,"Ankara, Turkey",Turkey,Married,3,,True
Gustav Magnar Witzoe,4.4,Norway,fish farming,655,28,"Kverva, Norway",Norway,Single,,,False
Michael Minhong Yu,4.4,China,education,655,59,"Beijing, China",China,Married,2,"Bachelor of Arts/Science, Peking University",True
Zhang Daocai,4.4,China,valves,655,71,"Shaoxing, China",China,,,,True
Stéphane Bancel,4.3,France,biotech,665,48,"Boston, Massachusetts",France,,,"Master of Science in Engineering, Ecole Centrale Paris; Master of Business Administration, Harvard University; Master of Science in Engineering, University of Minnesota",True
Ralph Dommermuth,4.3,Germany,internet service provider,665,57,"Montabaur, Germany",Germany,Married,1,,True
Thomas Hagen,4.3,United States,insurance,665,85,"Erie, Pennsylvania",United States,Widowed,2,"Bachelor of Arts/Science, Ohio State University",False
Pansy Ho,4.3,Hong Kong,casinos,665,58,"Hong Kong, Hong Kong",Hong Kong,Divorced,,"Bachelor of Arts/Science, University of Santa Clara",False
Rakesh Jhunjhunwala,4.3,India,investments,665,60,"Mumbai, India",India,Married,3,"B.Com, Bombay University; Chartered Accountant, The Institute of Chartered Accountants of India",True
Lee Yin Yee,4.3,China,glass,665,69,"Hong Kong, Hong Kong",China,,,,True
Eric Lefkofsky,4.3,United States,Groupon,665,51,"Glencoe, Illinois",United States,Married,3,"Bachelor of Arts/Science, University of Michigan; Doctor of Jurisprudence, University of Michigan",True
Edwin Leong,4.3,Hong Kong,real estate,665,69,"Hong Kong, Hong Kong",Hong Kong,Married,1,,True
Pawan Munjal & family,4.3,India,motorcycles,665,67,"Delhi, India",India,Married,3,,False
Antony Ressler,4.3,United States,finance,665,59,"Los Angeles, California",United States,Married,3,"Master of Business Administration, Columbia Business School; Bachelor of Arts/Science, Georgetown University",True
Paul Singer,4.3,United States,hedge funds,665,76,"New York, New York",United States,In Relationship,,"Doctor of Jurisprudence, Harvard University; Bachelor of Arts/Science, University of Rochester",True
Kerry Stokes,4.3,Australia,"construction equipment, media",665,80,"Perth, Australia",Australia,Married,4,,True
Steven Udvar-Hazy,4.3,United States,aircraft leasing,665,75,"Beverly Hills, California",United States,Married,4,"Bachelor of Arts/Science, University of California, Los Angeles",True
Takao Yasuda,4.3,Japan,retail,665,72,"Singapore, Singapore",Japan,Married,1,"Bachelor of Arts/Science, Keio University",True
Ye Chenghai & family,4.3,Hong Kong,pharmaceuticals,665,77,"Hong Kong, Hong Kong",Hong Kong,Married,2,"Bachelor of Arts/Science, Renmin University of China",True
Alain Bouchard,4.2,Canada,retail,680,72,"Montreal, Canada",Canada,Married,4,,True
Rick Caruso,4.2,United States,real estate,680,62,"Los Angeles, California",United States,Married,4,"Doctor of Jurisprudence, Pepperdine University; Bachelor of Arts/Science, University of Southern California",True
Scott Cook,4.2,United States,software,680,68,"Woodside, California",United States,Married,3,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, University of Southern California",True
Barry Diller,4.2,United States,online media,680,79,"New York, New York",United States,Married,,"Drop Out, University of California, Los Angeles",True
Traudl Engelhorn & family,4.2,Germany,"pharmaceuticals, medical equipment",680,94,"Lucerne, Switzerland",Germany,Widowed,4,,False
Fang Wei,4.2,China,steel,680,47,"Beijing, China",China,Married,,,True
Fu Liquan & family,4.2,China,surveillance equipment,680,53,"Hangzhou, China",China,Married,1,"Bachelor of Arts/Science, Zhejiang Shuren University; EMBA, Zhejiang University",True
Luca Garavoglia,4.2,Italy,spirits,680,52,"Milan, Italy",Italy,,,"Bachelor of Commerce, Bocconi University",False
Tom Golisano,4.2,United States,payroll services,680,79,"Naples, Florida",United States,Married,2,"Associate in Arts/Science, SUNY Tech Alfred",True
Peter Hargreaves,4.2,United Kingdom,financial services,680,74,"Bristol, United Kingdom",United Kingdom,Married,2,,True
Bertil Hult,4.2,Sweden,education,680,80,"Lucerne, Switzerland",Sweden,Married,4,,True
Ray Lee Hunt,4.2,United States,"oil, real estate",680,78,"Dallas, Texas",United States,Married,5,"Bachelor of Arts/Science, Southern Methodist University",False
James Irving,4.2,Canada,diversified,680,93,"Saint John, Canada",Canada,Married,4,,False
Martin Lau,4.2,Hong Kong,e-commerce,680,48,"Hong Kong, Hong Kong",Hong Kong,,,"Master of Business Administration, Kellogg School of Management; Master of Science in Engineering, Stanford University; Bachelor of Science in Engineering, University of Michigan",True
Li Li,4.2,China,healthcare,680,57,"Shenzhen, China",China,Married,,"Bachelor of Arts/Science, Sichuan University",True
Liu Fangyi,4.2,China,medical equipment,680,,"Shanghai, China",China,,,,True
Luo Liguo & family,4.2,China,chemicals,680,65,"Ningbo, China",China,Married,,,True
Pan Laican,4.2,China,soy sauce,680,,"foshan, China",China,,,,True
Juan Roig,4.2,Spain,supermarkets,680,71,"Valencia, Spain",Spain,Married,4,,False
Leonard Stern,4.2,United States,real estate,680,83,"New York, New York",United States,Married,3,"Master of Business Administration, Leonard N. Stern School of Business; Bachelor of Arts/Science, New York University",False
Thomas Straumann,4.2,Switzerland,dental implants,680,57,"Basel, Switzerland",Switzerland,,,,False
Wang Yanqing & family,4.2,China,electrical equipment,680,55,"Wuxi, China",China,Married,,,True
Ken Xie,4.2,United States,cybersecurity,680,58,"Los Altos Hills, California",United States,Married,,"Master of Science, Stanford University; Bachelor of Science, Tsinghua University; Master of Science, Tsinghua University",True
Xue Hua,4.2,China,agribusiness,680,,"Guangzhou, China",China,,,"Bachelor of Arts/Science, Huazhong Agricultural University",True
Steven Meng Yang & family,4.2,China,electronics,680,39,"Changsha, China",China,Married,,"Bachelor of Arts/Science, Peking University; Masters of Science in Technology, The University of Texas, Austin",True
Margot Birmingham Perot,4.1,United States,"computer services, real estate",705,87,"Dallas, Texas",United States,Widowed,5,"Bachelor of Arts/Science, Goucher College",False
David Bonderman,4.1,United States,private equity,705,78,"Fort Worth, Texas",United States,Married,5,"Doctor of Jurisprudence, Harvard University; Bachelor of Arts/Science, University of Washington",True
Matthew Calkins,4.1,United States,software,705,48,"Rosslyn, Virginia",United States,Divorced,2,"Bachelor of Arts/Economics, Dartmouth College",True
Cho Tak Wong,4.1,Hong Kong,auto parts,705,74,"Fuqing, China",Hong Kong,Married,3,,True
Piero Ferrari,4.1,Italy,automobiles,705,75,"Modena, Italy",Italy,Divorced,1,,False
Dan Friedkin,4.1,United States,Toyota dealerships,705,56,"Houston, Texas",United States,Married,4,"Bachelor of Arts/Science, Georgetown University; Master of Business Administration, Rice University",False
Laurence Graff & family,4.1,United Kingdom,diamond jewelry,705,82,"Gstaad, Switzerland",United Kingdom,Divorced,5,,True
Martin Haefner,4.1,Switzerland,"software, investments",705,67,"Zurich, Switzerland",Switzerland,Married,,,False
Hong Ra-hee,4.1,South Korea,Samsung,705,75,"Seoul, South Korea",South Korea,Widowed,3,"Bachelor of Arts/Science, Seoul National University",False
Ji Qi,4.1,China,"hotels, motels",705,54,"Shanghai, China",China,,,,True
"Rupert Johnson, Jr.",4.1,United States,money management,705,80,"Burlingame, California",United States,Married,,"Bachelor of Arts/Science, Washington & Lee University",False
Daniel Kretinsky,4.1,Czechia,"energy, investments",705,45,"Prague, Czechia",Czechia,In Relationship,1,"Law Degree, Masaryk University",True
William Lauder,4.1,United States,Estee Lauder,705,61,"New York, New York",United States,Divorced,,,False
Janice McNair,4.1,United States,"energy, sports",705,84,"Houston, Texas",United States,Widowed,4,"Bachelor of Arts/Science, Columbia College",False
John Morris,4.1,United States,sporting goods retail,705,73,"Springfield, Missouri",United States,Married,4,"Bachelor of Arts/Science, Drury University",True
Gabe Newell,4.1,United States,videogames,705,58,"Seattle, Washington",United States,Divorced,2,"Drop Out, Harvard University",True
Katharina Otto-Bernstein,4.1,Germany,real estate,705,57,"New York, New York",Germany,Married,2,,False
Julio Ponce Lerou,4.1,Chile,fertilizer,705,75,"Santiago, Chile",Chile,Divorced,1,,True
Jon Stryker,4.1,United States,medical equipment,705,63,"New York, New York",United States,Married,2,"Bachelor of Arts/Science, Kalamazoo College; Master of Architecture, University of California, Berkeley",False
Suh Kyung-bae,4.1,South Korea,cosmetics,705,58,"Seoul, South Korea",South Korea,Married,2,"Master of Business Administration, Samuel Curtis Johnson Graduate School of Management; Bachelor of Arts/Science, Yonsei University",False
Xu Jingren,4.1,China,pharmaceuticals,705,76,"Taizhou, China",China,Married,2,,True
Samuel Yin,4.1,Taiwan,retail,705,70,"Taipei, Taiwan",Taiwan,Married,2,"Bachelor of Arts/Science, Chinese Culture University; Ph.D, National Chengchi University; Master of Business Administration, National Taiwan University",False
Walter P.J. Droege,4.0,Germany,investing,727,68,"Dusseldorf, Germany",Germany,Married,,,True
Du Jiangtao & family,4.0,China,chemicals,727,51,"Beijing, China",China,Married,,"Master of Arts, Beijing Institute of Technology",True
Vinod & Anil Rai Gupta,4.0,India,electrical equipment,727,,"Delhi, India",India,,,,False
Masatoshi Ito,4.0,Japan,retail,727,97,"Tokyo, Japan",Japan,Married,3,,True
Igor Kesaev,4.0,Russia,"tobacco distribution, retail",727,54,"Moscow, Russia",Russia,Married,3,"Bachelor of Arts/Science, Moscow Institute of International Relations",True
Koon Poh Keong,4.0,Malaysia,aluminum,727,60,"Petaling Jaya, Malaysia",Malaysia,Married,,"Bachelor of Engineering, University of Oklahoma",True
Paul Xiaoming Lee & family,4.0,United States,packaging,727,63,"Yuxi, China",United States,Married,,"Master of Science, University of Massachusetts",True
Li Xiang,4.0,China,electric vehicles,727,39,"Beijing, China",China,,,,True
Melissa Ma,4.0,China,internet search,727,,"Beijing, China",China,Married,,,True
Kiran Mazumdar-Shaw,4.0,India,biopharmaceuticals,727,68,"Bangalore, India",India,Married,,"Bachelor of Arts/Science, Bangalore University; Master of Science, Melbourne University",True
Gwendolyn Sontheim Meyer,4.0,United States,Cargill,727,59,"Rancho Santa Fe, California",United States,Divorced,2,,False
Akira Mori & family,4.0,Japan,real estate,727,84,"Tokyo, Japan",Japan,Married,3,,False
Georg Nemetschek & family,4.0,Germany,software,727,87,"Munich, Germany",Germany,Widowed,2,,True
Masahiro Noda,4.0,Japan,software,727,82,"Tokyo, Japan",Japan,Married,,"Bachelor of Arts/Economics, Kansai University",True
Ajay Piramal,4.0,India,pharmaceuticals,727,65,"Mumbai, India",India,Married,2,"Bachelor of Arts/Science, Bombay University; Master of Business Administration, Bombay University",False
Qiu Guanghe & family,4.0,China,fashion retail,727,69,"Wenzhou, China",China,Married,2,,True
Trevor Rees-Jones,4.0,United States,oil & gas,727,69,"Dallas, Texas",United States,Married,2,"Bachelor of Arts/Science, Dartmouth College; Doctor of Jurisprudence, Southern Methodist University",True
Ira Rennert,4.0,United States,investments,727,86,"New York, New York",United States,Married,3,"Bachelor of Arts/Science, Brooklyn College; Master of Business Administration, Leonard N. Stern School of Business",True
Marc Rowan,4.0,United States,private equity,727,58,"New York, New York",United States,Married,,"Bachelor of Arts/Science, University of Pennsylvania; Master of Business Administration, University of Pennsylvania, The Wharton School",True
Ugur Sahin,4.0,Germany,biotechnology,727,55,"Mainz, Germany",Germany,Married,,,True
Michal Solowow,4.0,Poland,investments,727,58,"Kielce, Poland",Poland,Married,3,,True
Udo & Harald Tschira,4.0,Germany,software,727,,Germany,Germany,,,,False
Wu Jianshu,4.0,Hong Kong,auto parts,727,57,"Ningbo, China",Hong Kong,,,,True
Ye Xiaoping,4.0,China,pharmaceuticals,727,58,"Hangzhou, China",China,,,"Ph.D, Oxford University",True
Zhou Hongyi,4.0,China,security software,727,50,"Beijing, China",China,Married,,"Master of Science, Xi'an Jiaotong University",True
Che Jianxing,3.9,China,furniture retailing,752,54,"Shanghai, China",China,Married,,,True
Beatriz Davila de Santo Domingo,3.9,Colombia,beer,752,82,Bermuda,Colombia,Widowed,2,,False
Rafael Del Pino,3.9,Spain,construction,752,62,"Madrid, Spain",Spain,Divorced,6,"Master of Business Administration, MIT Sloan School of Management; Bachelor of Arts/Science, Universidad  Politecnica de Madrid",False
Du Weimin,3.9,China,vaccines,752,57,"Shenzhen, China",China,Married,,"Master of Business Administration, Jinan University",True
Rakesh Gangwal,3.9,United States,airline,752,67,"Miami, Florida",United States,Married,1,"Bachelor of Science in Engineering, Indian Institute of Technology; Master of Business Administration, University of Pennsylvania, The Wharton School",True
Paul Gauselmann & family,3.9,Germany,gambling,752,86,"Espelkamp, Germany",Germany,Married,4,,True
Jeff Greene,3.9,United States,"real estate, investments",752,66,"Palm Beach, Florida",United States,Married,3,"Master of Business Administration, Harvard University; Bachelor of Arts/Science, Johns Hopkins University",True
Johnelle Hunt,3.9,United States,trucking,752,89,"Fayetteville, Arkansas",United States,Widowed,2,"Drop Out, University of Central Arkansas",True
Jin Baofang,3.9,China,solar energy,752,68,"Xingtai, China",China,Married,,"Associate in Arts/Science, Hebei Broadcast and Television University",True
Kuan Kam Hon & family,3.9,Malaysia,synthetic gloves,752,73,"Kuala Lumpur, Malaysia",Malaysia,Married,3,,True
"Stephen Mandel, Jr.",3.9,United States,hedge funds,752,65,"Greenwich, Connecticut",United States,Married,3,"Bachelor of Arts/Science, Dartmouth College; Master of Business Administration, Harvard University; Diploma, Phillips Academy Exeter",True
Gilles Martin,3.9,France,laboratory services,752,57,"Nantes, France",France,Married,,"Bachelor of Arts/Science, Ecole centrale de Paris; Master, Syracuse University; Ph.D, Syracuse University",True
Masahiro Miki,3.9,Japan,shoes,752,65,"Tokyo, Japan",Japan,Married,,"Bachelor of Arts/Science, Toho Gakuen tanki University",True
Dan Olsson,3.9,Sweden,diversified,752,74,"Gothenburg, Sweden",Sweden,Married,,,False
Robert Rowling,3.9,United States,"hotels, investments",752,67,"Dallas, Texas",United States,Married,2,"Doctor of Jurisprudence, Southern Methodist University; Bachelor of Arts/Science, The University of Texas at Austin",False
Erik Selin,3.9,Sweden,real estate,752,53,"Göteborg, Sweden",Sweden,Divorced,,,True
Mark Shoen,3.9,United States,U-Haul,752,70,"Phoenix, Arizona",United States,Married,1,,False
Ben Silbermann,3.9,United States,Pinterest,752,38,"San Francisco, California",United States,Married,2,"Bachelor of Arts/Science, Yale University",True
Maximilian Viessmann,3.9,Germany,heating and cooling equipment,752,,,Germany,,,,False
Wang Linpeng,3.9,China,furniture retailing,752,53,"Beijing, China",China,,,,True
Wu Zhigang & family,3.9,China,bakery chain,752,86,"Shenyang, China",China,Married,3,,True
Yi Zheng,3.9,China,software,752,50,"Hangzhou, China",China,,,"Bachelor of Arts/Science, Zhejiang University",True
Zhang Wenzhong,3.9,China,supermarkets,752,59,"Beijing, China",China,,,,True
Euisun Chung,3.8,South Korea,Hyundai,775,50,"Seoul, South Korea",South Korea,Married,2,"Bachelor of Arts/Science, Korea University; Master of Business Administration, University of San Francisco",False
Daniel D'Aniello,3.8,United States,private equity,775,74,"Vienna, Virginia",United States,Married,2,"Master of Business Administration, Harvard University; Bachelor of Arts/Science, Syracuse University",True
Oleg Deripaska,3.8,Russia,"aluminum, utilities",775,53,"Moscow, Russia",Russia,Divorced,2,"Bachelor of Arts/Science, Moscow State University",True
Sergey Dmitriev,3.8,Russia,computer software,775,55,"Prague, Czechia",Russia,,,"Master of Science, Saint Petersburg State University",True
Feng Hailiang,3.8,China,"copper, education",775,60,"Zhuji, China",China,Married,2,"Master of Business Administration, Zhejiang University",True
John Gandel,3.8,Australia,shopping malls,775,86,"Melbourne, Australia",Australia,Married,4,"Doctorate, Monash University",False
Gao Dekang & family,3.8,China,apparel,775,69,"Changshu, China",China,Married,3,"EMBA, Phoenix International University",True
Jaime Gilinski Bacal,3.8,Colombia,banking,775,63,"London, United Kingdom",Colombia,Married,4,"Master of Business Administration, Harvard Business School",False
Sergei Gordeev,3.8,Russia,real estate,775,48,"Moscow, Russia",Russia,Single,,"Bachelor of Arts/Science, Togliatti Academy of Management",True
Jeff Green,3.8,United States,online advertising,775,44,"Newbury Park, California",United States,,,,True
"Amos Hostetter, Jr.",3.8,United States,cable television,775,84,"Boston, Massachusetts",United States,Married,3,"Bachelor of Arts/Science, Amherst College; Master of Business Administration, Harvard University",True
Kuok Khoon Hong,3.8,Singapore,palm oil,775,71,"Singapore, Singapore",Singapore,Married,4,,False
Lai Jianping,3.8,China,soy sauce,775,,"Foshan, China",China,,,,True
Aerin Lauder,3.8,United States,cosmetics,775,51,"New York, New York",United States,Married,2,"Bachelor of Arts/Science, University of Pennsylvania",False
Hans Georg Naeder,3.8,Germany,prosthetics,775,59,"Duderstadt, Germany",Germany,Divorced,2,,False
Maren Otto,3.8,Germany,"retail, real estate",775,,"Berlin, Germany",Germany,Widowed,,,False
Clive Palmer,3.8,Australia,mining,775,67,"Brisbane, Australia",Australia,Married,3,,True
Karsanbhai Patel,3.8,India,consumer goods,775,77,"Ahmedabad, India",India,Married,3,,True
Qiu Jianping & family,3.8,China,hand tools,775,59,"Hangzhou, China",China,Married,,"Master of Science, Xi'an Jiaotong University",True
Wolfgang Reimann,3.8,Germany,consumer goods,775,68,"Passau, Germany",Germany,,,,False
Matthias Reimann-Andersen,3.8,Germany,consumer goods,775,56,"Munich, Germany",Germany,,,,False
Stefan Reimann-Andersen,3.8,Germany,consumer goods,775,57,"Vienna, Austria",Germany,,,,False
Renate Reimann-Haas,3.8,Germany,consumer goods,775,69,"Vienna, Austria",Germany,,,,False
Dirk Rossmann & family,3.8,Germany,drugstores,775,74,"Lower-Saxony, Germany",Germany,Married,2,,True
Shaul Shani,3.8,Israel,telecom,775,66,Italy,Israel,,,,True
Song Fei,3.8,China,machinery,775,54,"Yantai, China",China,Married,,,True
Donald Sterling,3.8,United States,real estate,775,87,"Beverly Hills, California",United States,Married,3,"Bachelor of Arts/Science, California State Los Angeles; Doctor of Jurisprudence, Southwestern Law School",True
Ivar Tollefsen,3.8,Norway,real estate,775,59,"Oslo, Norway",Norway,,,,True
Don Vultaggio & family,3.8,United States,beverages,775,69,"Port Washington, New York",United States,Married,2,"High School Graduate, High School",True
Nusli Wadia,3.8,India,consumer goods,775,77,"Mumbai, India",India,Married,2,,False
Zhang Jin,3.8,China,commodities,775,49,"Guangzhou, China",China,,,"Master of Arts, Hong Kong Polytechnic University; EMBA, Peking University",True
Zhu Gongshan,3.8,China,solar panel materials,775,63,"Shanghai, China",China,Married,2,,True
Peter Gilgan,3.7,Canada,homebuilding,807,70,"Oakville, Canada",Canada,Married,8,,True
Marian Ilitch,3.7,United States,Little Caesars,807,88,"Bingham Farms, Michigan",United States,Widowed,7,"Diploma, High School; High School Graduate, High School",True
Kong Jian Min,3.7,China,real estate,807,53,"Guangzhou, China",China,,,"Bachelor of Arts/Science, Jinan University",True
Li Liangbin,3.7,China,lithium,807,53,"Xinyu, China",China,,,,True
Li Yongxin & family,3.7,China,education,807,45,"Beijing, China",China,Married,,"Bachelor of Arts/Science, Peking University",True
Mary Alice Dorrance Malone,3.7,United States,Campbell Soup,807,71,"Coatesville, Pennsylvania",United States,Divorced,2,"Bachelor of Arts/Science, University of Arizona",False
Michael Milken,3.7,United States,investments,807,74,"Los Angeles, California",United States,Married,3,"Bachelor of Arts/Science, University of California, Berkeley; Master of Business Administration, University of Pennsylvania, The Wharton School",True
Ronald Perelman,3.7,United States,leveraged buyouts,807,78,"New York, New York",United States,Married,8,"Bachelor of Arts/Science, University of Pennsylvania; Master of Business Administration, University of Pennsylvania, The Wharton School",True
Candido Pinheiro Koren de Lima,3.7,Brazil,"hospitals, health insurance",807,74,"Fortaleza, Brazil",Brazil,Married,2,,True
J. Joe Ricketts & family,3.7,United States,TD Ameritrade,807,79,"Little Jackson Hole, Wyoming",United States,Married,4,"Bachelor of Arts/Science, Creighton University",True
Paolo & Gianfelice Mario Rocca,3.7,Italy,pipe manufacturing,807,,"Buenos Aires, Argentina",Italy,,,"Certificate, Harvard Business School",False
